Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  us/call  us/call  name    
 41.91      3.57     3.57   491396     7.27     9.16  oscilloscope::drawCurve()
 28.52      6.00     2.43 10303888     0.24     0.24  decode::getFreq(int, double, bool)
 10.92      6.93     0.93 583517486     0.00     0.00  sf::Vector2<float>::Vector2(float, float)
  5.63      7.41     0.48 15458746     0.03     0.03  envelope::getVolume(int, double)
  4.46      7.79     0.38                             synth::onGetData(sf::SoundStream::Chunk&)
  1.88      7.95     0.16 10309129     0.02     0.03  channel::get(double, int, double)
  1.29      8.06     0.11  2061740     0.05     0.06  channel::getSquare(double, double)
  1.29      8.17     0.11  5153429     0.02     0.02  filter::getFiltered(double)
  0.82      8.24     0.07  5154195     0.01     0.01  std::isnan(double)
  0.65      8.30     0.06  5154483     0.01     0.01  decode::getSubVolume(int)
  0.47      8.34     0.04  5153322     0.01     0.01  decode::getVolume(int)
  0.35      8.37     0.03  5154489     0.01     0.01  decode::isStriked(int)
  0.35      8.40     0.03  5154015     0.01     0.01  decode::getWaveform(int)
  0.29      8.42     0.03  5153087     0.00     0.00  decode::getSubWaveform(int)
  0.23      8.44     0.02  5154724     0.00     0.00  effect::getEffect(double)
  0.23      8.46     0.02  1030852     0.02     0.02  channel::getNoise()
  0.12      8.47     0.01  5154313     0.00     0.00  channel::getSine(double, double)
  0.12      8.48     0.01  5153347     0.00     0.00  decode::isfreqModulated(int)
  0.12      8.49     0.01  1030954     0.01     0.01  channel::getSaw(double, double)
  0.12      8.50     0.01   491145     0.02     0.02  sf::Drawable::~Drawable()
  0.12      8.51     0.01    81840     0.12    55.30  collection::drawAll(sf::RenderWindow*)
  0.06      8.52     0.01   491111     0.01     0.03  sf::Sprite::~Sprite()
  0.06      8.52     0.01                             non-virtual thunk to sf::Text::~Text()
  0.00      8.52     0.00  5152677     0.00     0.00  envelope::getCurrentTime(int, double)
  0.00      8.52     0.00  1030961     0.00     0.01  channel::getRSaw(double, double)
  0.00      8.52     0.00   909595     0.00     0.00  std::vector<element*, std::allocator<element*> >::size() const
  0.00      8.52     0.00   826933     0.00     0.00  std::vector<element*, std::allocator<element*> >::operator[](unsigned long)
